ID,예민함정도,의견수용,말수,시간약속,리더십,체력,청결민감도,여행일정강도,국내or해외,산or바다,계획or즉흥,랜드마크,코골이,웨이팅,여행희망지역,싫어하는기후,여행목적,숙소유형,기상시간,여행예산,Summary,Profile,Rec_People,Rec_Travel
11,매우 둔감,보통,많다,매우 정확,무조건 따름,4,매우 둔감,매우 빡빡하게,해외,바다,계획 여행,무조건 다 봄,코골이 안함,기다림,"일본,세계일주,중국&몽골","습함,더움,건조함","미식,액티비티,도전과성장","민박,게스트하우스,펜션",오전 8-9시,200-300만원,"저는 해외여행을 즐기며 특히 일본을 선호하고, 여행을 통해 미식과 액티비티를 경험하며 도전과 성장을 추구합니다. 시간 약속을 철저히 지키고 일정을 빡빡하게 계획하는 편이어서, 불필요한 대기 시간이 길거나 예기치 못한 변화가 생기는 것이 최악의 경험일 수 있습니다. 이번 여행에서 가장 기대하는 것은 새로운 음식과 경험을 통해 성장하는 것이며, 여행 기점에서 삶에 긍정적인 변화를 이루고 싶습니다. 함께 여행하는 사람은 저처럼 계획을 따르고 대화가 많은 사람이라면 좋겠습니다. 여행 중에는 민박이나 게스트하우스에서 머물며 현지의 문화를 더욱 깊이 체험하고 싶습니다.","이 사용자는 일본 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 미식이며, 민박에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
12,둔감,보통,매우 적다,매우 정확,무조건 따름,3,매우 둔감,보통,해외,바다,계획 여행,적당히 봄,코골이 안함,기다림,"세계일주,그 외,유럽","더움,쌀쌀함,건조함","도전과성장,기록,사람&관계","에어비엔비,4-5성급호텔,콘도",오전 9-10시,400만원 이상,저는 여행 중에 더운 기후나 쌀쌀하고 건조한 환경이 있는 곳에서는 최악의 경험을 할 수 있을 것 같아요. 그래서 여행 시 쾌적한 기후를 유지할 수 있는 준비물을 꼭 챙기고 싶습니다. 함께 여행하고 싶은 사람은 의사소통이 필요할 때 적절하게 의견을 주고받고 예정된 시간에 맞추어 행동할 수 있는 사람이면 좋겠어요. 이번 여행에서 가장 기대하는 것은 새로운 지역에서 경험을 쌓고 성장을 이루는 것입니다. 이를 통해 제 삶에 새로운 관점과 도전 정신이 더해지기를 바랍니다.,"이 사용자는 그 외 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 기록이며, 콘도에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
13,매우 민감,다소 완고,매우 적다,종종 늦음,리드하는편,5,매우 둔감,꽤 빡빡하게,해외,산,즉흥 여행,적당히 봄,코골이 함,기다림,"그 외,일본,유럽","습함,더움,추움","문화&역사체험,사람&관계,액티비티","게스트하우스,펜션,민박",오전 10시 이후,300-400만원,"저는 유럽으로의 여행을 계획 중이며, 이번 여행에서 꼭 액티비티를 즐기고 싶습니다. 과거에 날씨 때문에 여행이 망친 경험이 있어, 습하거나 추운 기후는 피하고 싶고, 천천히 기상해 여유롭게 시작하는 것이 중요합니다. 함께 여행할 사람은 의사소통이 많이 필요하지 않고, 즉흥적인 계획을 수용할 수 있는 사람이면 좋겠습니다. 문화와 역사 체험에서 많은 것을 얻고, 새로운 사람들과의 관계 형성을 기대하고 있으며, 이번 여행이 삶에 작은 변화를 가져다줄 의미 있는 시간이 되기를 바라고 있습니다. 무엇보다 너무 빡빡한 일정에서도 코고는 저와 편하게 잘 지낼 수 있는 분위기를 원합니다.","이 사용자는 유럽 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 게스트하우스에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
14,보통,매우 완고,적다,보통,무조건 리드,2,매우 민감,매우 여유있게,해외,산,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"그 외,중국&몽골,동남아","더움,상관없음,쌀쌀함","액티비티,공연&경기관람,휴식","콘도,펜션,4-5성급호텔",오전 8-9시,100만원 이하,"제가 여행 중 최악의 경험은 더운 기후에 장시간 웨이팅이 필요했던 순간들이었습니다. 이번 여행에서는 일정 계획이 잘 잡혀 있어, 랜드마크도 무리 없이 둘러볼 수 있는 게 중요합니다. 함께 여행할 사람으로는 청결함에 민감하고, 조금은 리드하는 제가 믿고 따라와 줄 수 있는 사람이 좋습니다. 가장 기대하는 것은 공연 및 경기 관람, 그리고 산을 배경으로 한 휴식입니다. 이번 여행이 제게 많은 활력을 주고, 일상에서 벗어나 새로운 경험의 기회를 제공하길 바랍니다.","이 사용자는 중국&몽골 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 공연&경기관람이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
15,보통,다소 완고,많다,꽤 정확,보통,4,매우 둔감,꽤 여유있게,국내,산,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"국내,동남아,중국&몽골","습함,더움,상관없음","도전과성장,자연감상,문화&역사체험","펜션,상관없음,콘도",오전 9-10시,100만원 이하,"저는 보통 계획한 대로 여행하는 것을 좋아하는 편이라, 최악의 경험은 예기치 않게 일정이 틀어져 웨이팅에 많은 시간을 낭비할 때였어요. 그래서 이번 여행에서는 체계적인 일정 관리가 꼭 필요합니다. 같이 여행을 가고 싶은 사람은 즉흥적보다 계획적인 스타일을 선호하며, 서로 의견이 맞아야 할 것 같아요. 이번 여행에서 가장 기대하는 것은 국내 지역의 다양한 역사와 문화를 체험하고 자연의 경치를 감상하는 일입니다. 여행을 통해 도전과 성장을 경험하며, 특히 일상에서 벗어나 새로운 시각을 얻고 삶에 있어 의미 있는 변화를 가져오는 것이 제 목적입니다.","이 사용자는 국내 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 콘도에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
16,꽤 민감,수용적,적다,보통,보통,5,매우 둔감,매우 빡빡하게,해외,바다,계획 여행,무조건 다 봄,코골이 안함,기다림,"세계일주,유럽,그 외","추움,쌀쌀함,상관없음","사람&관계,쇼핑,자연감상","에어비엔비,게스트하우스,3성이하 호텔",오전 9-10시,300-400만원,"저는 여행에서 계획한 일정을 소화하려고 꽉 찬 일정으로 여행을 즐깁니다. 예전에 여행 중 날씨가 쌀쌀해서 불편했던 기억이 최악의 경험으로 남아 있기에, 따뜻한 기후에서 바다를 보며 자연을 감상하는 것이 가장 기대됩니다. 이번 여행에서는 새 사람들과의 상호작용을 통해 관계를 쌓을 수 있기를 바라며, 이런 경험이 앞으로의 삶에 긍정적인 자양분이 되기를 바랍니다. 함께 여행 가는 이들은 유연하게 의견을 조율할 수 있고, 서두르지 않고 기다릴 줄 아는 사람이면 좋겠습니다. 숙소에서는 에어비앤비나 3성 이하의 편안한 공간을 선호하고 있는데, 간단한 청결 유지면 충분하다고 생각합니다. 중요한 것은 여행에서의 경험 하나하나가 삶의 소중한 추억이 되는 것입니다.","이 사용자는 세계일주 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
17,둔감,수용적,적다,매우 정확,따르는 편,2,둔감,꽤 여유있게,해외,산,즉흥 여행,적당히 봄,코골이 함,다른 곳 간다,"동남아,미국,유럽","추움,건조함,쌀쌀함","미식,도전과성장,문화&역사체험","에어비엔비,3성이하 호텔,콘도",오전 8-9시,100만원 이하,"저는 여행 중 최악의 경험은 추운 기후에서 일어났던 일입니다. 이번 여행에서는 따뜻한 날씨를 즐기기 위해 동남아나 미국을 선택했고, 좋은 음식을 꼭 맛보고 싶습니다. 함께하는 사람은 의견을 존중하고, 여유로운 일정을 좋아하는 사람이면 좋겠습니다. 여행 중 가장 기대하는 것은 현지의 음식문화를 체험하고, 새로운 도전과 성장을 이루는 것입니다. 이 여행을 통해 저는 문화와 역사적 이해가 깊어지고, 삶의 새로운 관점을 찾고자 합니다.","이 사용자는 미국 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 미식이며, 콘도에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
18,꽤 민감,매우 완고,매우 많다,매우 정확,따르는 편,4,보통,매우 빡빡하게,해외,바다,계획 여행,적당히 봄,코골이 안함,다른 곳 간다,"미국,유럽,세계일주","추움,상관없음,더움","사람&관계,휴식,도전과성장","3성이하 호텔,상관없음,게스트하우스",오전 10시 이후,200-300만원,"저는 꽤 민감하고 완고한 성향이라 여행 중 일행과 의견 충돌이 최악의 경험이 될 수 있습니다. 이번 여행에서는 계획적인 일정과 정확한 시간 약속이 필수적이며, 무엇보다 편안한 대화를 나눌 수 있는 사람과 함께하길 바랍니다. 휴식을 목표로 해도 도전과 성장의 기회를 놓치고 싶지 않기 때문에 새로운 인연을 만들어가는 것에 집중하고자 합니다. 세계 일주를 통해 다양한 문화를 경험하며 제 삶에 활력을 불어넣고 싶습니다. 이런 여행이 저에게 새로운 관계를 맺고 개인적으로 성숙할 수 있는 기회가 되었으면 합니다.","이 사용자는 세계일주 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 게스트하우스에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
19,매우 민감,매우 수용적,매우 적다,꽤 정확,따르는 편,5,보통,꽤 빡빡하게,해외,바다,즉흥 여행,적당히 봄,코골이 안함,기다림,"미국,유럽,그 외","습함,추움,쌀쌀함","휴식,도전과성장,미식","콘도,게스트하우스,펜션",오전 9-10시,200-300만원,저는 여행 중에 쌀쌀한 기후를 만났을 때가 최악의 경험이었어요. 이번 여행에서는 즉흥적으로 일정이 바뀌어도 유연하게 대응할 수 있는 자유로운 환경이 꼭 있었으면 좋겠어요. 조용하고 자신의 의견을 잘 수용하는 사람과 같이 여행하는 것을 선호합니다. 이번 여행에서 가장 기대하는 것은 새로운 도전과 성장을 통한 삶의 변화입니다. 여행을 통해 일상에서 벗어나 새로운 경험을 통해 제 삶에 긍정적인 의미를 더하고 싶어요.,"이 사용자는 그 외 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 펜션에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
20,매우 둔감,매우 완고,적다,매우 정확,따르는 편,4,보통,매우 빡빡하게,국내,산,즉흥 여행,무조건 다 봄,코골이 함,다른 곳 간다,"동남아,유럽,국내","추움,습함,상관없음","공연&경기관람,자연감상,사람&관계","민박,게스트하우스,상관없음",오전 10시 이후,200-300만원,"저는 여행 중 예기치 못한 코골이로 다른 여행객들과 숙소에서 불편함을 겪었던 것이 최악의 경험입니다. 이번 여행에서는 시간 약속을 잘 지키고 적극적으로 모든 계획을 소화해낼 수 있는 일정과 공연 관람 기회를 중시하고 싶습니다. 따라서, 저와 비슷하게 즉흥적인 여행을 즐기고 다정한 성격을 가진 사람과 함께 가고 싶습니다. 이번 여행에서는 특히나 다양한 자연 풍경과 공연을 만날 수 있다는 점을 가장 기대하고 있습니다. 이런 경험들이 제 삶에 새로운 활력과 추억을 더해줄 것이라 믿고 있습니다.","이 사용자는 동남아 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 공연&경기관람이며, 상관없음에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
21,보통,매우 수용적,보통,종종 늦음,무조건 리드,3,매우 둔감,꽤 빡빡하게,국내,바다,계획 여행,무조건 다 봄,코골이 안함,기다림,"중국&몽골,세계일주,일본","상관없음,습함,쌀쌀함","쇼핑,액티비티,문화&역사체험","4-5성급호텔,상관없음,콘도",오전 10시 이후,100만원 이하,"제가 여행 중 최악의 경험으로 꼽는 것은 일부 일정에 늦어 계획대로 진행되지 않은 경우였던 것 같습니다. 이번 여행에서는 여유로운 숙소와 충분한 경비가 꼭 필요하다고 생각합니다. 여행을 함께 하고 싶은 사람은 서로 일정을 맞추는데 유연하고 서로 리드할 수 있는 사람입니다. 이번 여행에서 가장 기대하는 것은 새로운 문화와 역사 체험을 통한 성장과, 여행 후에도 오랫동안 즐겁게 기억할 액티비티입니다. 이번 여행이 제 삶에 새로운 활력을 불어넣고, 다양한 시야를 넓힐 수 있는 계기가 됐으면 합니다.","이 사용자는 중국&몽골 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 상관없음에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
22,매우 민감,다소 완고,매우 많다,종종 늦음,따르는 편,5,매우 민감,보통,해외,산,즉흥 여행,적당히 봄,코골이 함,기다림,"일본,그 외,유럽","습함,더움,쌀쌀함","자연감상,도전과성장,공연&경기관람","상관없음,3성이하 호텔,에어비엔비",오전 8-9시,200-300만원,"여행 중 최악의 경험은 기후가 습하고 더운 곳에서 시간을 보내는 것입니다, 그래서 이번 여행에서는 쾌적한 자연환경을 꼭 기대합니다. 이번 여행에서 도전과 성장을 위한 새로운 경험을 찾고 싶습니다. 그래서 함께 여행하고 싶은 사람은 유연한 사고를 가진, 새로운 상황에서도 적응할 수 있는 사람입니다. 즉흥적으로 여행하면서도 여러 자연환경을 즐기고, 공연이나 경기를 관람하며 일상의 틀을 벗어나고 싶습니다. 이번 여행은 나에게 도전과 변화를 가져다 주는, 삶에 특별한 의미가 있는 시간이 될 것입니다.","이 사용자는 그 외 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 에어비엔비에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
23,둔감,수용적,매우 많다,매우 정확,무조건 따름,5,꽤 민감,꽤 빡빡하게,국내,바다,계획 여행,적당히 봄,코골이 안함,다른 곳 간다,"일본,세계일주,국내","추움,습함,건조함","액티비티,사람&관계,미식","콘도,상관없음,에어비엔비",오전 9-10시,100만원 이하,"저는 여행 중 춥고 습한 날씨가 가장 최악이라고 느끼며, 예전 경험에서도 날씨 때문에 어려움을 겪었던 기억이 있습니다. 이번 여행에서는 미식 체험이 꼭 포함되어야 하는데, 그 지역의 맛있는 음식들을 즐기는 것이 중요합니다. 여행을 함께할 사람으로는 이야기를 많이 나눌 수 있고 계획을 잘 따를 수 있는 수용적인 사람이 좋습니다. 이번 여행에서 가장 기대하는 것은 새로운 사람들과의 만남과 관계 형성, 그리고 활기찬 액티비티입니다. 이러한 여행이 삶에 활력을 주고 새로운 경험을 통해 개인적으로 성장할 수 있는 계기가 되기를 바라고 있습니다.","이 사용자는 국내 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 미식이며, 콘도에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
24,꽤 민감,다소 완고,매우 적다,꽤 정확,리드하는편,5,매우 둔감,매우 빡빡하게,국내,산,즉흥 여행,적당히 봄,코골이 안함,다른 곳 간다,"일본,중국&몽골,미국","건조함,습함,쌀쌀함","문화&역사체험,사람&관계,자연감상","3성이하 호텔,콘도,민박",오전 10시 이후,300-400만원,"저는 여행 중 일정이 너무 빡빡할 때 체력이 낮아 힘들었던 기억이 있어서 그런 점을 피하고 싶습니다. 이번 여행에서는 문화와 역사 체험이 가능한 장소를 꼭 방문하고 싶고, 즉흥적인 계획이 가능해 자유롭게 자연을 감상할 수 있기를 바랍니다. 함께 여행할 사람은 말수가 적고 웨이팅을 싫어해서 저와 비슷한 성향이면 좋겠죠. 가장 기대하는 것은 중국과 몽골의 독특한 문화와 역사를 직접 체험하는 것이며, 쌀쌀한 기후를 피하면서 자연 속에서 힐링할 수 있기를 바랍니다. 이번 여행이 제 삶에 자연과 사람들 사이의 관계를 더 깊이 이해하는 깨달음을 주었으면 합니다.","이 사용자는 중국&몽골 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
